Tarih,TP_DK_USD_S_YTL
2015-09-17,3.0173
2015-09-18,3.0197
2015-09-19,
2015-09-20,
2015-09-21,3.0015
2015-09-22,3.0032
2015-09-23,3.0123
2015-09-24,
2015-09-25,
2015-09-26,
2015-09-27,
2015-09-28,3.0123
2015-09-29,3.0518
2015-09-30,3.0488
2015-10-01,3.0306
2015-10-02,3.0228
2015-10-03,
2015-10-04,
2015-10-05,3.0291
2015-10-06,2.9978
2015-10-07,2.9933
2015-10-08,2.9433
2015-10-09,2.941
2015-10-10,
2015-10-11,
2015-10-12,2.9013
2015-10-13,2.9286
2015-10-14,2.9474
2015-10-15,2.9469
2015-10-16,2.8892
2015-10-17,
2015-10-18,
2015-10-19,2.8978
2015-10-20,2.8933
2015-10-21,2.9006
2015-10-22,2.9079
2015-10-23,2.8942
2015-10-24,
2015-10-25,
2015-10-26,2.8718
2015-10-27,2.8961
2015-10-28,2.8995
2015-10-29,
2015-10-30,2.8995
2015-10-31,
2015-11-01,
2015-11-02,2.9202
2015-11-03,2.8085
2015-11-04,2.8336
2015-11-05,2.8413
2015-11-06,2.8731
2015-11-07,
2015-11-08,
2015-11-09,2.8776
2015-11-10,2.9244
2015-11-11,2.9157
2015-11-12,2.8963
2015-11-13,2.882
2015-11-14,
2015-11-15,
2015-11-16,2.8738
2015-11-17,2.8827
2015-11-18,2.8771
2015-11-19,2.87
2015-11-20,2.8543
2015-11-21,
2015-11-22,
2015-11-23,2.8354
2015-11-24,2.8484
2015-11-25,2.8741
2015-11-26,2.8865
2015-11-27,2.9061
2015-11-28,
2015-11-29,
2015-11-30,2.9248
2015-12-01,2.9161
2015-12-02,2.8975
2015-12-03,2.8823
2015-12-04,2.8866
2015-12-05,
2015-12-06,
2015-12-07,2.8973
2015-12-08,2.8949
2015-12-09,2.9175
2015-12-10,2.9159
2015-12-11,2.9151
2015-12-12,
2015-12-13,
2015-12-14,2.9509
2015-12-15,2.972
2015-12-16,2.9755
2015-12-17,2.9684
2015-12-18,2.9364
2015-12-19,
2015-12-20,
2015-12-21,2.9282
2015-12-22,2.9121
2015-12-23,2.93
2015-12-24,2.9314
2015-12-25,2.924
2015-12-26,
2015-12-27,
2015-12-28,2.9175
2015-12-29,2.9209
2015-12-30,2.9137
2015-12-31,2.9128
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,2.9233
2016-01-05,2.9475
2016-01-06,2.9803
2016-01-07,3.0094
2016-01-08,3.0221
2016-01-09,
2016-01-10,
2016-01-11,2.993
2016-01-12,3.0243
2016-01-13,3.0377
2016-01-14,3.0193
2016-01-15,3.0328
2016-01-16,
2016-01-17,
2016-01-18,3.0416
2016-01-19,3.0422
2016-01-20,3.0297
2016-01-21,3.0551
2016-01-22,3.0441
2016-01-23,
2016-01-24,
2016-01-25,3.0161
2016-01-26,3.0151
2016-01-27,3.0263
2016-01-28,3.0032
2016-01-29,2.9842
2016-01-30,
2016-01-31,
2016-02-01,2.9662
2016-02-02,2.9725
2016-02-03,2.9577
2016-02-04,2.9531
2016-02-05,2.9096
2016-02-06,
2016-02-07,
2016-02-08,2.9104
2016-02-09,2.9348
2016-02-10,2.9524
2016-02-11,2.9292
2016-02-12,2.934
2016-02-13,
2016-02-14,
2016-02-15,2.9281
2016-02-16,2.9494
2016-02-17,2.957
2016-02-18,2.9693
2016-02-19,2.9659
2016-02-20,
2016-02-21,
2016-02-22,2.9711
2016-02-23,2.9502
2016-02-24,2.941
2016-02-25,2.9439
2016-02-26,2.9348
2016-02-27,
2016-02-28,
2016-02-29,2.9345
2016-03-01,2.9665
2016-03-02,2.9504
2016-03-03,2.9425
2016-03-04,2.9267
2016-03-05,
2016-03-06,
2016-03-07,2.9199
2016-03-08,2.9253
2016-03-09,2.9254
2016-03-10,2.9133
2016-03-11,2.8927
2016-03-12,
2016-03-13,
2016-03-14,2.8786
2016-03-15,2.8848
2016-03-16,2.8904
2016-03-17,2.9137
2016-03-18,2.8609
2016-03-19,
2016-03-20,
2016-03-21,2.8605
2016-03-22,2.8747
2016-03-23,2.8775
2016-03-24,2.8745
2016-03-25,2.8841
2016-03-26,
2016-03-27,
2016-03-28,2.8757
2016-03-29,2.8784
2016-03-30,2.8747
2016-03-31,2.8385
2016-04-01,2.83
2016-04-02,
2016-04-03,
2016-04-04,2.8248
2016-04-05,2.824
2016-04-06,2.8328
2016-04-07,2.8463
2016-04-08,2.8479
2016-04-09,
2016-04-10,
2016-04-11,2.862
2016-04-12,2.8389
2016-04-13,2.8321
2016-04-14,2.8534
2016-04-15,2.8642
2016-04-16,
2016-04-17,
2016-04-18,2.8597
2016-04-19,2.857
2016-04-20,2.838
2016-04-21,2.8327
2016-04-22,2.826
2016-04-23,
2016-04-24,
2016-04-25,2.8338
2016-04-26,2.8509
2016-04-27,2.8397
2016-04-28,2.8226
2016-04-29,2.82
2016-04-30,
2016-05-01,
2016-05-02,2.8064
2016-05-03,2.7978
2016-05-04,2.8116
2016-05-05,2.8642
2016-05-06,2.9254
2016-05-07,
2016-05-08,
2016-05-09,2.9249
2016-05-10,2.9281
2016-05-11,2.9433
2016-05-12,2.9676
2016-05-13,2.9542
2016-05-14,
2016-05-15,
2016-05-16,2.964
2016-05-17,2.9765
2016-05-18,2.9698
2016-05-19,
2016-05-20,2.983
2016-05-21,
2016-05-22,
2016-05-23,2.9821
2016-05-24,2.988
2016-05-25,2.9875
2016-05-26,2.9479
2016-05-27,2.9402
2016-05-28,
2016-05-29,
2016-05-30,2.9452
2016-05-31,2.9613
2016-06-01,2.9568
2016-06-02,2.9543
2016-06-03,2.9446
2016-06-04,
2016-06-05,
2016-06-06,2.9515
2016-06-07,2.9132
2016-06-08,2.903
2016-06-09,2.8946
2016-06-10,2.8993
2016-06-11,
2016-06-12,
2016-06-13,2.9152
2016-06-14,2.9271
2016-06-15,2.9357
2016-06-16,2.9322
2016-06-17,2.9349
2016-06-18,
2016-06-19,
2016-06-20,2.9353
2016-06-21,2.9037
2016-06-22,2.9015
2016-06-23,2.9107
2016-06-24,2.8851
2016-06-25,
2016-06-26,
2016-06-27,2.9318
2016-06-28,2.9417
2016-06-29,2.9182
2016-06-30,2.8988
2016-07-01,2.89
2016-07-02,
2016-07-03,
2016-07-04,2.8898
2016-07-05,
2016-07-06,
2016-07-07,
2016-07-08,2.8898
2016-07-09,
2016-07-10,
2016-07-11,2.9266
2016-07-12,2.9033
2016-07-13,2.8937
2016-07-14,2.8999
2016-07-15,2.8965
2016-07-16,
2016-07-17,
2016-07-18,2.8886
2016-07-19,2.9539
2016-07-20,2.982
2016-07-21,3.0336
2016-07-22,3.0783
2016-07-23,
2016-07-24,
2016-07-25,3.0628
2016-07-26,3.0371
2016-07-27,3.0407
2016-07-28,3.0431
2016-07-29,3.0221
2016-07-30,
2016-07-31,
2016-08-01,3.018
2016-08-02,2.985
2016-08-03,2.998
2016-08-04,3.0129
2016-08-05,3.0267
2016-08-06,
2016-08-07,
2016-08-08,3.005
2016-08-09,2.9899
2016-08-10,2.9835
2016-08-11,2.9606
2016-08-12,2.9675
2016-08-13,
2016-08-14,
2016-08-15,2.9611
2016-08-16,2.9563
2016-08-17,2.935
2016-08-18,2.9392
2016-08-19,2.9283
2016-08-20,
2016-08-21,
