Tarih,TP_FG_J0,CPI_Monthly
2003-01-01,94.77,
2003-02-01,96.23,1.5405719109422789
2003-03-01,98.12,1.9640444767743848
2003-04-01,99.09,0.9885854056257637
2003-05-01,100.04,0.958724391966892
2003-06-01,100.12,0.0799680127948843
2003-07-01,99.93,-0.1897722732720708
2003-08-01,100.09,0.16011207845492148
2003-09-01,101.44,1.3487860925167183
2003-10-01,102.38,0.9266561514195581
2003-11-01,103.68,1.2697792537605057
2003-12-01,104.12,0.4243827160493874
2004-01-01,104.81,0.6626968882059048
2004-02-01,105.35,0.5152180135483242
2004-03-01,106.36,0.958709065021357
2004-04-01,106.89,0.4983076344490467
2004-05-01,107.35,0.4303489568715513
2004-06-01,107.21,-0.13041453190498764
2004-07-01,107.72,0.47570189348009606
2004-08-01,108.54,0.7612328258447931
2004-09-01,109.57,0.9489589091578932
2004-10-01,112.03,2.2451400930911802
2004-11-01,113.5,1.312148531643298
2004-12-01,113.86,0.317180616740087
2005-01-01,114.49,0.5533110837871114
2005-02-01,114.51,0.017468774565476686
2005-03-01,114.81,0.26198585276395736
2005-04-01,115.63,0.7142234996951435
2005-05-01,116.69,0.9167171149355724
2005-06-01,116.81,0.1028365755420424
2005-07-01,116.14,-0.573581029021486
2005-08-01,117.13,0.8524194937144847
2005-09-01,118.33,1.024502689319573
2005-10-01,120.45,1.7915997633736191
2005-11-01,122.14,1.4030718140307208
2005-12-01,122.65,0.4175536269854341
2006-01-01,123.57,0.7501019160211841
2006-02-01,123.84,0.21849963583395748
2006-03-01,124.18,0.27454780361757525
2006-04-01,125.84,1.336769205991306
2006-05-01,128.2,1.875397329942774
2006-06-01,128.63,0.33541341653666734
2006-07-01,129.72,0.8473917437611833
2006-08-01,129.15,-0.4394079555966601
2006-09-01,130.81,1.2853271389856813
2006-10-01,132.47,1.2690161302652658
2006-11-01,134.18,1.2908583075413427
2006-12-01,134.49,0.23103294082575943
2007-01-01,135.84,1.0037921035021213
2007-02-01,136.42,0.4269729093050456
2007-03-01,137.67,0.9162879343204811
2007-04-01,139.33,1.2057819423258787
2007-05-01,140.03,0.5024043637407605
2007-06-01,139.69,-0.24280511319003661
2007-07-01,138.67,-0.7301882740353705
2007-08-01,138.7,0.021634095334244208
2007-09-01,140.13,1.0310021629416077
2007-10-01,142.67,1.8126025833154813
2007-11-01,145.45,1.9485526039111356
